2025-06-08 21:21:23, 22.7°C, 12.09°C, 57.14%, 593.78 W/m2, 0.0476%, 4.74%
2025-06-08 21:21:43, 22.5°C, 9.21°C, 53.21%, 531.24 W/m2, 0.0686%, 4.17%
2025-06-08 21:21:43, 22.72°C, 9.51°C, 57.8%, 536.24 W/m2, 0.0896%, 5.0%
2025-06-08 21:21:44, 21.22°C, 10.21°C, 52.95%, 512.42 W/m2, 0.0376%, 4.35%
2025-06-08 21:22:15, 22.51°C, 10.65°C, 53.1%, 608.62 W/m2, 0.0861%, 4.89%
2025-06-08 21:22:15, 28.74°C, 13.22°C, 51.12%, 694.54 W/m2, 0.085%, 4.8%
2025-06-08 21:22:15, 27.75°C, 19.83°C, 50.23%, 553.68 W/m2, 0.0484%, 4.67%
2025-06-08 21:22:16, 26.07°C, 18.06°C, 54.48%, 562.77 W/m2, 0.0816%, 4.93%
2025-06-08 21:22:16, 28.65°C, 6.55°C, 53.53%, 550.23 W/m2, 0.0598%, 4.73%
2025-06-08 21:22:16, 24.26°C, 4.28°C, 55.57%, 591.21 W/m2, 0.0512%, 5.5%
2025-06-08 21:22:32, 18.29°C, 10.49°C, 50.38%, 516.82 W/m2, 0.0556%, 5.25%
